Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 512, 1, 1, 32, 0.140582, 0.106352, N/A, 0.000428052, 0.000871989, 0.160019, 0.00105729, 2, 2, 1, 2, 1, 1, 65.1586, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
